iter	Passed	Remaining
0	48	48160
1	48	24352
2	49	16438
3	49	12394
4	50	9959
5	50	8377
6	50	7216
7	51	6364
8	51	5674
9	52	5157
10	52	4710
11	52	4341
12	53	4028
13	53	3776
14	54	3555
15	54	3349
16	54	3170
17	55	3005
18	55	2872
19	56	2750
20	56	2637
21	57	2533
22	57	2438
23	57	2351
24	58	2268
25	58	2197
26	59	2132
27	59	2067
28	59	2002
29	60	1950
30	60	1898
31	61	1848
32	61	1801
33	61	1755
34	62	1710
35	62	1674
36	62	1639
37	63	1604
38	63	1569
39	64	1540
40	64	1514
41	65	1484
42	65	1454
43	65	1427
44	66	1401
45	66	1380
46	66	1357
47	67	1335
48	67	1309
49	67	1287
50	68	1266
51	68	1247
52	68	1229
53	69	1210
54	69	1193
55	69	1175
56	70	1159
57	70	1143
58	70	1125
59	70	1109
60	71	1095
61	71	1081
62	71	1065
63	71	1050
64	72	1036
65	72	1023
66	72	1010
67	72	998
68	73	986
69	73	973
70	73	960
71	73	949
72	73	938
73	74	927
74	74	916
75	74	904
76	74	895
77	74	884
78	75	875
79	75	866
80	75	857
81	75	846
82	75	838
83	76	829
84	76	819
85	76	811
86	76	803
87	76	795
88	76	787
89	77	779
90	77	771
91	77	764
92	77	757
93	77	751
94	78	744
95	78	737
96	78	730
97	78	723
98	78	716
99	78	710
100	79	703
101	79	697
102	79	691
103	79	685
104	79	678
105	79	672
106	79	666
107	80	661
108	80	655
109	80	649
110	80	644
111	80	639
112	80	634
113	80	629
114	81	624
115	81	619
116	81	614
117	81	609
118	81	604
119	81	600
120	82	596
121	82	592
122	82	587
123	82	583
124	82	578
125	82	574
126	82	569
127	83	565
128	83	561
129	83	558
130	83	554
131	83	550
132	83	546
133	83	542
134	84	538
135	84	534
136	84	531
137	84	527
138	84	524
139	84	520
140	84	516
141	84	513
142	85	509
143	85	506
144	85	503
145	85	499
146	85	496
147	85	493
148	85	489
149	85	486
150	86	483
151	86	480
152	86	477
153	86	474
154	86	472
155	86	469
156	86	466
157	87	463
158	87	460
159	87	458
160	87	455
161	87	452
162	87	449
163	87	447
164	87	444
165	87	441
166	88	439
167	88	436
168	88	434
169	88	431
170	88	429
171	88	427
172	88	424
173	88	422
174	89	419
175	89	417
176	89	415
177	89	412
178	89	410
179	89	408
180	89	406
181	89	403
182	90	401
183	90	399
184	90	397
185	90	395
186	90	393
187	90	391
188	90	389
189	90	386
190	90	385
191	91	383
192	91	380
193	91	378
194	91	376
195	91	374
196	91	372
197	91	370
198	91	369
199	91	367
200	91	365
201	92	363
202	92	361
203	92	359
204	92	357
205	92	356
206	92	354
207	92	352
208	92	350
209	92	348
210	92	347
211	92	345
212	93	343
213	93	341
214	93	340
215	93	338
216	93	336
217	93	335
218	93	333
219	93	332
220	93	330
221	93	328
222	93	327
223	94	325
224	94	324
225	94	322
226	94	321
227	94	319
228	94	318
229	94	316
230	94	315
231	94	313
232	94	312
233	94	310
234	95	309
235	95	308
236	95	306
237	95	305
238	95	304
239	95	302
240	95	301
241	95	300
242	95	298
243	96	297
244	96	296
245	96	294
246	96	293
247	96	292
248	96	291
249	96	289
250	96	288
251	96	287
252	96	286
253	96	284
254	97	283
255	97	282
256	97	281
257	97	280
258	97	278
259	97	277
260	97	276
261	97	275
262	97	274
263	97	273
264	98	271
265	98	270
266	98	269
267	98	268
268	98	267
269	98	266
270	98	265
271	98	264
272	98	263
273	98	261
274	98	260
275	99	259
276	99	258
277	99	257
278	99	256
279	99	255
280	99	254
281	99	253
282	99	252
283	99	251
284	99	250
285	99	249
286	99	248
287	100	247
288	100	246
289	100	245
290	100	244
291	100	243
292	100	242
293	100	241
294	100	240
295	100	239
296	100	238
297	100	237
298	100	236
299	101	235
300	101	234
301	101	234
302	101	233
303	101	232
304	101	231
305	101	230
306	101	229
307	101	228
308	101	227
309	101	226
310	102	226
311	102	225
312	102	224
313	102	223
314	102	222
315	102	221
316	102	221
317	102	220
318	102	219
319	102	218
320	102	217
321	103	216
322	103	216
323	103	215
324	103	214
325	103	213
326	103	212
327	103	212
328	103	211
329	103	210
330	103	209
331	103	209
332	104	208
333	104	207
334	104	206
335	104	206
336	104	205
337	104	204
338	104	203
339	104	203
340	104	202
341	104	201
342	104	201
343	105	200
344	105	199
345	105	198
346	105	198
347	105	197
348	105	196
349	105	196
350	105	195
351	105	194
352	105	193
353	105	193
354	105	192
355	106	191
356	106	191
357	106	190
358	106	189
359	106	189
360	106	188
361	106	187
362	106	187
363	106	186
364	106	185
365	106	185
366	107	184
367	107	184
368	107	183
369	107	182
370	107	182
371	107	181
372	107	181
373	107	180
374	107	179
375	108	179
376	108	178
377	108	177
378	108	177
379	108	176
380	108	176
381	108	175
382	108	174
383	108	174
384	108	173
385	108	173
386	108	172
387	109	172
388	109	171
389	109	170
390	109	170
391	109	169
392	109	169
393	109	168
394	109	168
395	109	167
396	109	167
397	110	166
398	110	165
399	110	165
400	110	164
401	110	164
402	110	163
403	110	163
404	110	162
405	110	162
406	111	161
407	111	161
408	111	160
409	111	160
410	111	159
411	111	159
412	111	158
413	111	158
414	111	157
415	111	157
416	112	156
417	112	156
418	112	155
419	112	155
420	112	154
421	112	154
422	112	153
423	112	153
424	112	152
425	112	152
426	113	151
427	113	151
428	113	150
429	113	150
430	113	149
431	113	149
432	113	148
433	113	148
434	113	147
435	114	147
436	114	147
437	114	146
438	114	146
439	114	145
440	114	145
441	114	144
442	114	144
443	114	143
444	114	143
445	114	142
446	115	142
447	115	141
448	115	141
449	115	141
450	115	140
451	115	140
452	115	139
453	115	139
454	115	138
455	116	138
456	116	137
457	116	137
458	116	137
459	116	136
460	116	136
461	116	135
462	116	135
463	116	134
464	116	134
465	117	134
466	117	133
467	117	133
468	117	132
469	117	132
470	117	132
471	117	131
472	117	131
473	117	130
474	118	130
475	118	130
476	118	129
477	118	129
478	118	128
479	118	128
480	118	128
481	118	127
482	118	127
483	118	126
484	119	126
485	119	126
486	119	125
487	119	125
488	119	124
489	119	124
490	119	124
491	119	123
492	119	123
493	120	122
494	120	122
495	120	122
496	120	121
497	120	121
498	120	121
499	120	120
500	120	120
501	120	119
502	120	119
503	121	119
504	121	118
505	121	118
506	121	118
507	121	117
508	121	117
509	121	116
510	121	116
511	121	116
512	122	115
513	122	115
514	122	115
515	122	114
516	122	114
517	122	114
518	122	113
519	122	113
520	122	112
521	122	112
522	123	112
523	123	111
524	123	111
525	123	111
526	123	110
527	123	110
528	123	110
529	123	109
530	123	109
531	123	109
532	124	108
533	124	108
534	124	108
535	124	107
536	124	107
537	124	106
538	124	106
539	124	106
540	124	105
541	124	105
542	125	105
543	125	104
544	125	104
545	125	104
546	125	103
547	125	103
548	125	103
549	125	102
550	125	102
551	125	102
552	126	101
553	126	101
554	126	101
555	126	100
556	126	100
557	126	100
558	126	99
559	126	99
560	126	99
561	127	99
562	127	98
563	127	98
564	127	98
565	127	97
566	127	97
567	127	97
568	127	96
569	127	96
570	127	96
571	128	95
572	128	95
573	128	95
574	128	94
575	128	94
576	128	94
577	128	93
578	128	93
579	128	93
580	129	93
581	129	92
582	129	92
583	129	92
584	129	91
585	129	91
586	129	91
587	129	90
588	129	90
589	129	90
590	130	89
591	130	89
592	130	89
593	130	89
594	130	88
595	130	88
596	130	88
597	130	87
598	130	87
599	130	87
600	131	86
601	131	86
602	131	86
603	131	86
604	131	85
605	131	85
606	131	85
607	131	84
608	131	84
609	131	84
610	132	84
611	132	83
612	132	83
613	132	83
614	132	82
615	132	82
616	132	82
617	132	82
618	132	81
619	133	81
620	133	81
621	133	80
622	133	80
623	133	80
624	133	80
625	133	79
626	133	79
627	133	79
628	133	78
629	134	78
630	134	78
631	134	78
632	134	77
633	134	77
634	134	77
635	134	77
636	134	76
637	134	76
638	134	76
639	135	75
640	135	75
641	135	75
642	135	75
643	135	74
644	135	74
645	135	74
646	135	74
647	135	73
648	135	73
649	136	73
650	136	73
651	136	72
652	136	72
653	136	72
654	136	71
655	136	71
656	136	71
657	136	71
658	137	70
659	137	70
660	137	70
661	137	70
662	137	69
663	137	69
664	137	69
665	137	69
666	137	68
667	137	68
668	138	68
669	138	68
670	138	67
671	138	67
672	138	67
673	138	67
674	138	66
675	138	66
676	138	66
677	139	66
678	139	65
679	139	65
680	139	65
681	139	65
682	139	64
683	139	64
684	139	64
685	139	64
686	139	63
687	140	63
688	140	63
689	140	63
690	140	62
691	140	62
692	140	62
693	140	62
694	140	61
695	140	61
696	140	61
697	141	61
698	141	60
699	141	60
700	141	60
701	141	60
702	141	59
703	141	59
704	141	59
705	141	59
706	142	58
707	142	58
708	142	58
709	142	58
710	142	57
711	142	57
712	142	57
713	142	57
714	142	56
715	142	56
716	143	56
717	143	56
718	143	55
719	143	55
720	143	55
721	143	55
722	143	55
723	143	54
724	143	54
725	143	54
726	143	54
727	144	53
728	144	53
729	144	53
730	144	53
731	144	52
732	144	52
733	144	52
734	144	52
735	144	52
736	145	51
737	145	51
738	145	51
739	145	51
740	145	50
741	145	50
742	145	50
743	145	50
744	145	49
745	145	49
746	146	49
747	146	49
748	146	49
749	146	48
750	146	48
751	146	48
752	146	48
753	146	47
754	147	47
755	147	47
756	147	47
757	147	47
758	147	46
759	147	46
760	148	46
761	148	46
762	148	46
763	148	45
764	148	45
765	148	45
766	148	45
767	148	44
768	148	44
769	148	44
770	149	44
771	149	44
772	149	43
773	149	43
774	149	43
775	149	43
776	149	42
777	149	42
778	149	42
779	149	42
780	150	42
781	150	41
782	150	41
783	150	41
784	150	41
785	150	40
786	150	40
787	150	40
788	150	40
789	150	40
790	151	39
791	151	39
792	151	39
793	151	39
794	151	39
795	151	38
796	151	38
797	151	38
798	151	38
799	151	37
800	152	37
801	152	37
802	152	37
803	152	37
804	152	36
805	152	36
806	152	36
807	152	36
808	152	36
809	152	35
810	153	35
811	153	35
812	153	35
813	153	35
814	153	34
815	153	34
816	153	34
817	153	34
818	153	34
819	153	33
820	154	33
821	154	33
822	154	33
823	154	32
824	154	32
825	154	32
826	154	32
827	154	32
828	154	31
829	154	31
830	155	31
831	155	31
832	155	31
833	155	30
834	155	30
835	155	30
836	155	30
837	155	30
838	155	29
839	155	29
840	156	29
841	156	29
842	156	29
843	156	28
844	156	28
845	156	28
846	156	28
847	157	28
848	157	27
849	157	27
850	157	27
851	157	27
852	157	27
853	157	26
854	157	26
855	157	26
856	157	26
857	158	26
858	158	25
859	158	25
860	158	25
861	158	25
862	158	25
863	158	24
864	158	24
865	158	24
866	159	24
867	159	24
868	159	24
869	159	23
870	159	23
871	159	23
872	159	23
873	159	23
874	159	22
875	159	22
876	160	22
877	160	22
878	160	22
879	160	21
880	160	21
881	160	21
882	160	21
883	160	21
884	160	20
885	161	20
886	161	20
887	161	20
888	161	20
889	161	19
890	161	19
891	161	19
892	161	19
893	162	19
894	162	19
895	162	18
896	162	18
897	162	18
898	162	18
899	162	18
900	162	17
901	162	17
902	162	17
903	163	17
904	163	17
905	163	16
906	163	16
907	163	16
908	163	16
909	163	16
910	163	16
911	163	15
912	163	15
913	164	15
914	164	15
915	164	15
916	164	14
917	164	14
918	164	14
919	164	14
920	164	14
921	164	13
922	165	13
923	165	13
924	165	13
925	165	13
926	165	13
927	165	12
928	165	12
929	165	12
930	165	12
931	165	12
932	166	11
933	166	11
934	166	11
935	166	11
936	166	11
937	166	11
938	166	10
939	166	10
940	166	10
941	166	10
942	167	10
943	167	9
944	167	9
945	167	9
946	167	9
947	167	9
948	167	9
949	167	8
950	167	8
951	167	8
952	168	8
953	168	8
954	168	7
955	168	7
956	168	7
957	168	7
958	168	7
959	168	7
960	168	6
961	169	6
962	169	6
963	169	6
964	169	6
965	169	5
966	169	5
967	169	5
968	169	5
969	169	5
970	169	5
971	170	4
972	170	4
973	170	4
974	170	4
975	170	4
976	170	4
977	170	3
978	170	3
979	170	3
980	171	3
981	171	3
982	171	2
983	171	2
984	171	2
985	171	2
986	171	2
987	171	2
988	172	1
989	172	1
990	172	1
991	172	1
992	172	1
993	172	1
994	172	0
995	172	0
996	172	0
997	172	0
998	173	0
999	173	0
