iter	RMSE
0	51.29748971
1	50.98306186
2	50.6396329
3	50.24393478
4	49.80988971
5	49.45896426
6	49.13996673
7	48.79790876
8	48.36618163
9	48.14387556
10	47.691952
11	47.33869044
12	47.00685267
13	46.70094174
14	46.43888903
15	46.05780876
16	45.65606811
17	45.20570528
18	45.00196113
19	44.77262078
20	44.37297411
21	44.13050324
22	43.85065412
23	43.57338603
24	43.28034992
25	43.08659465
26	42.89286679
27	42.60239648
28	42.26856769
29	41.9285158
30	41.5854515
31	41.33579263
32	41.0682015
33	40.7655546
34	40.3801511
35	40.20472216
36	39.96514767
37	39.71813728
38	39.46481226
39	39.2564802
40	39.01405792
41	38.76217674
42	38.49913551
43	38.2464976
44	37.98514841
45	37.81906785
46	37.54415648
47	37.31296172
48	37.03569916
49	36.79603147
50	36.55510007
51	36.39527204
52	36.20200293
53	36.0280617
54	35.78945586
55	35.5680648
56	35.40485362
57	35.17314481
58	34.99433019
59	34.74972373
60	34.58477117
61	34.41367328
62	34.18900862
63	33.9774164
64	33.66321254
65	33.44955258
66	33.22972159
67	33.0812306
68	32.93453724
69	32.69516012
70	32.48934951
71	32.33595347
72	32.12162111
73	31.92839366
74	31.7311149
75	31.48616202
76	31.34981595
77	31.13666096
78	30.92198658
79	30.7840196
80	30.57984855
81	30.31056784
82	30.1081013
83	29.96932233
84	29.77936647
85	29.5902539
86	29.40451665
87	29.16525325
88	28.96939479
89	28.787819
90	28.61282857
91	28.4761639
92	28.35420373
93	28.17962252
94	28.00620888
95	27.80113136
96	27.55095039
97	27.36086147
98	27.1861746
99	27.05018558
100	26.82898702
101	26.69914962
102	26.5206569
103	26.35764646
104	26.20504447
105	26.02616784
106	25.86752388
107	25.70839364
108	25.52900299
109	25.37846411
110	25.26750313
111	25.11210465
112	25.00242824
113	24.83613082
114	24.67738644
115	24.516651
116	24.35935498
117	24.19054627
118	24.03043975
119	23.88296561
120	23.77054429
121	23.62472191
122	23.46786607
123	23.32549502
124	23.16930313
125	22.96432228
126	22.78128402
127	22.67809078
128	22.53947401
129	22.43532577
130	22.29369888
131	22.14544054
132	22.00035541
133	21.86575281
134	21.73088121
135	21.55065217
136	21.37338984
137	21.24069029
138	21.11234804
139	20.9882372
140	20.89410226
141	20.78635837
142	20.65464018
143	20.52861862
144	20.41340493
145	20.26400144
146	20.14516413
147	20.0146273
148	19.89115469
149	19.76528578
150	19.60427989
151	19.51572812
152	19.3568687
153	19.2360529
154	19.12002946
155	19.00416968
156	18.85276691
157	18.73881914
158	18.6228681
159	18.47155411
160	18.36052965
161	18.25027183
162	18.17155207
163	18.09100016
164	17.92934472
165	17.85002367
166	17.70838791
167	17.63286355
168	17.54178634
169	17.43251547
170	17.35790246
171	17.20494946
172	17.12712589
173	17.01301278
174	16.86495044
175	16.75338993
176	16.61965727
177	16.50952329
178	16.40911259
179	16.33736785
